site,c_s,a,g,b0,i_max,t_ice,sm,ro,et,sum
Germany,210,2,0.2,0.4,20,-3,0.8727186604636697,0.6084460143481883,0.8962433812586701,2.377408056070528
Germany,210,2,0.2,0.4,20,0,0.8727691153786024,0.6070055790960411,0.8962925286158296,2.376067223090473
Germany,210,2,0.2,0.4,20,3,0.8722708606493986,0.6016185338336649,0.8964954581319321,2.3703848526149955
Germany,210,2,0.2,0.4,40,-3,0.875677173788662,0.5925685127660114,0.8967311455082363,2.3649768320629097
Germany,210,2,0.2,0.4,40,0,0.8751485075697167,0.5913447680153251,0.8967708011922474,2.363264076777289
Germany,210,2,0.2,0.4,40,3,0.8706417755990635,0.5808332072628554,0.89695111595869,2.348426098820609
Germany,210,2,0.2,0.4,200,-3,0.875062458413877,0.5900682044244405,0.8967581495272051,2.3618888123655224
Germany,210,2,0.2,0.4,200,0,0.8745240121440307,0.5888379060987616,0.8967977821643636,2.3601597004071557
Germany,210,2,0.2,0.4,200,3,0.8699366161530979,0.5783002935587426,0.8969777747691844,2.345214684481025
Germany,210,2,0.2,0.6,20,-3,0.8709800727559481,0.6317224054802666,0.890096948860093,2.3927994270963078
Germany,210,2,0.2,0.6,20,0,0.8714685330289036,0.6289500889006283,0.8901849131813399,2.3906035351108716
Germany,210,2,0.2,0.6,20,3,0.871138866539067,0.6182412489040682,0.890541347103488,2.379921462546623
Germany,210,2,0.2,0.6,40,-3,0.8712599979147972,0.6074515634374461,0.8910944336554132,2.3698059950076567
Germany,210,2,0.2,0.6,40,0,0.8710817174292979,0.6050354579922391,0.891164261043835,2.367281436465372
Germany,210,2,0.2,0.6,40,3,0.8675748677754364,0.5851902126537137,0.8914765404039605,2.3442416208331105
Germany,210,2,0.2,0.6,200,-3,0.8707744179142434,0.6045179114234982,0.8911303011093981,2.36642263044714
Germany,210,2,0.2,0.6,200,0,0.8705886138974706,0.6020884332388746,0.8912000793502081,2.3638771264865532
Germany,210,2,0.2,0.6,200,3,0.8670180550678892,0.5821935907529027,0.8915115150247405,2.3407231608455326
Germany,210,2,0.2,0.8,20,-3,0.8643572230285457,0.6350755056558732,0.8768800677398668,2.3763127964242856
Germany,210,2,0.2,0.8,20,0,0.8655069255481944,0.63082726382539,0.8770250562027977,2.373359245576382
Germany,210,2,0.2,0.8,20,3,0.8651682535226619,0.6118365466934234,0.8775473182075515,2.354552118423637
Germany,210,2,0.2,0.8,40,-3,0.8636962639134015,0.6016873288760555,0.87944074828796,2.344824341077417
