site,c_s,a,g,b0,sm,ro,et,sum
Germany,210,2,0.2,0.4,0.873430267051732,0.590153717236564,0.89673301785232,2.360317002140616
Germany,210,2,0.2,0.6,0.869497231095482,0.6044341572204257,0.8910944476859409,2.365025836001849
Germany,210,2,0.2,0.8,0.8623466245000886,0.5979621099924359,0.8794604193876628,2.3397691538801872
Germany,210,2,0.5,0.4,0.8693783642253364,0.5843878184413431,0.8888710625148256,2.342637245181505
Germany,210,2,0.5,0.6,0.8650899587967255,0.5979510090309742,0.8769770985318076,2.3400180663595074
Germany,210,2,0.5,0.8,0.8587816961898065,0.5976788466371457,0.8597521760058289,2.316212718832781
Germany,210,2,0.8,0.4,0.8648826031150234,0.5797591216844963,0.8814419203656733,2.326083645165193
Germany,210,2,0.8,0.6,0.8589093802290267,0.592464455266789,0.865166704517063,2.3165405400128787
Germany,210,2,0.8,0.8,0.8512423002718358,0.5948063074831531,0.8449920048971776,2.2910406126521665
Germany,210,4,0.2,0.4,0.8760175891448467,0.5881601997208599,0.8991413547998243,2.3633191436655308
Germany,210,4,0.2,0.6,0.8841581176846635,0.5934244166827441,0.8954515173157603,2.373034051683168
Germany,210,4,0.2,0.8,0.8777221462967082,0.5753676388150178,0.8866922190953012,2.339782004207027
Germany,210,4,0.5,0.4,0.870800882572786,0.5850693700754566,0.8946822590054071,2.3505525116536496
Germany,210,4,0.5,0.6,0.8779011207470889,0.5913606042715992,0.886459827136591,2.3557215521552792
Germany,210,4,0.5,0.8,0.8783841714737364,0.5800188604670307,0.8723455700804824,2.3307486020212496
Germany,210,4,0.8,0.4,0.8657730982486591,0.5823886504191181,0.8902386182037785,2.338400366871556
Germany,210,4,0.8,0.6,0.8706926870798067,0.5893641192747298,0.8784997779160971,2.3385565842706337
Germany,210,4,0.8,0.8,0.8704944949580374,0.581889195335542,0.861451458868866,2.313835149162445
Germany,210,8,0.2,0.4,0.8440006243538115,0.5862726565375377,0.9004382250017844,2.3307115058931336
Germany,210,8,0.2,0.6,0.876314567779985,0.5847398151666675,0.8977302865510662,2.3587846694977186
Germany,210,8,0.2,0.8,0.8812366215079221,0.5614031307151246,0.8899707268950394,2.3326104791180864
Germany,210,8,0.5,0.4,0.8393528626965682,0.5847753312328161,0.8978445780704488,2.321972771999833
Germany,210,8,0.5,0.6,0.8706378068825663,0.5849408387380728,0.891565116463727,2.3471437620843663
Germany,210,8,0.5,0.8,0.8874275008571937,0.5661005912965515,0.8784412163390631,2.331969308492808
Germany,210,8,0.8,0.4,0.8349211761468426,0.5834116514122961,0.8951025729124176,2.3134354004715565
Germany,210,8,0.8,0.6,0.863826301868675,0.5849735609324738,0.8858451269821819,2.334644989783331
Germany,210,8,0.8,0.8,0.8797893412822895,0.5690364617159746,0.8697098254526486,2.318535628450913
Germany,420,2,0.2,0.4,0.8181317264110687,0.5842738733973405,0.89814136622595,2.300546966034359
Germany,420,2,0.2,0.6,0.8072509625384418,0.6093262709157751,0.8948945972569733,2.31147183071119
Germany,420,2,0.2,0.8,0.7936611196730179,0.620124353095864,0.889837319069824,2.303622791838706
Germany,420,2,0.5,0.4,0.823461345004572,0.5795046602978852,0.8921476930353898,2.295113698337847
Germany,420,2,0.5,0.6,0.818996935587598,0.6014197331772669,0.8842641993439501,2.304680868108815
Germany,420,2,0.5,0.8,0.8136637068764123,0.6133738496968679,0.8735986868881364,2.3006362434614167
Germany,420,2,0.8,0.4,0.8266577657461173,0.5755106775315746,0.8862111125656277,2.2883795558433198
Germany,420,2,0.8,0.6,0.82484799731055,0.5948920050575366,0.8744089094938012,2.294148911861888
Germany,420,2,0.8,0.8,0.8216941203842574,0.6063660458694585,0.8599294247161948,2.287989590969911
Germany,420,4,0.2,0.4,0.8669912288608913,0.5916421944693062,0.8995651680752549,2.3581985914054524
Germany,420,4,0.2,0.6,0.8560860264518299,0.6087816443493038,0.8973072390913415,2.362174909892475
Germany,420,4,0.2,0.8,0.8286125437286663,0.6030054987267321,0.8935847765954655,2.325202819050864
Germany,420,4,0.5,0.4,0.8662157857399226,0.5883519689832036,0.8958298610211858,2.350397615744312
Germany,420,4,0.5,0.6,0.8610076680014003,0.6048545565524501,0.8903223291389952,2.3561845536928456
Germany,420,4,0.5,0.8,0.8481070560911238,0.604021064634816,0.8821006681317857,2.3342287888577253
Germany,420,4,0.8,0.4,0.8647752093248354,0.5854422742803934,0.8921147573513838,2.3423322409566127
Germany,420,4,0.8,0.6,0.8620394006568298,0.6012099060909174,0.8837467159090613,2.3469960226568087
Germany,420,4,0.8,0.8,0.8541873503923213,0.60277194104936,0.8722966823852586,2.32925597382694
Germany,420,8,0.2,0.4,0.8748293763449657,0.5887551233332396,0.9006448004785758,2.364229300156781
Germany,420,8,0.2,0.6,0.8826381007164075,0.5953422010922451,0.8990467280843315,2.377027029892984
Germany,420,8,0.2,0.8,0.8492774569881764,0.5720024557418154,0.8959075675303244,2.317187480260316
Germany,420,8,0.5,0.4,0.8720060031711636,0.5870222747335213,0.8985334806765186,2.3575617585812036
Germany,420,8,0.5,0.6,0.882572613261352,0.5940217196586651,0.8946390788340597,2.3712334117540768
Germany,420,8,0.5,0.8,0.8719556232525836,0.5784569633812843,0.8876673198944109,2.3380799065282787
Germany,420,8,0.8,0.4,0.8691346897171448,0.5854254562849283,0.8963911790677369,2.35095132506981
Germany,420,8,0.8,0.6,0.8804782231042467,0.5927528561888198,0.8904152464983855,2.363646325791452
Germany,420,8,0.8,0.8,0.8777968580746448,0.5809240441976331,0.8806606132274525,2.3393815154997304
Germany,840,2,0.2,0.4,0.7171727026236834,0.5633795085285181,0.8998309665685578,2.1803831777207594
Germany,840,2,0.2,0.6,0.7000937807311396,0.5861782578374719,0.8982156025300146,2.184487641098626
Germany,840,2,0.2,0.8,0.6809147911813743,0.6030764721741657,0.8960281028058898,2.1800193661614298
Germany,840,2,0.5,0.4,0.7263355718004151,0.5606960902392487,0.8964388283196836,2.1834704903593476
Germany,840,2,0.5,0.6,0.7178604733657877,0.5809866869812106,0.8923225761916156,2.1911697365386136
Germany,840,2,0.5,0.8,0.7087724012196905,0.597117574225616,0.8870670645569593,2.1929570400022658
Germany,840,2,0.8,0.4,0.7336063541307091,0.5583609325874653,0.8930126192882306,2.1849799060064052
Germany,840,2,0.8,0.6,0.7307331837433318,0.5765618717844248,0.8865381507478957,2.1938332062756523
Germany,840,2,0.8,0.8,0.7266772259226758,0.5911988879154337,0.8787230956947616,2.196599209532871
Germany,840,4,0.2,0.4,0.7906549694390981,0.5824216349156124,0.9002791368477124,2.273355741202423
Germany,840,4,0.2,0.6,0.7752545579470523,0.6084012362524087,0.899013671093353,2.282669465292814
Germany,840,4,0.2,0.8,0.7446803817689257,0.6211525057867175,0.8973730863947139,2.2632059739503574
Germany,840,4,0.5,0.4,0.7938612112583547,0.5799681734731502,0.8975950643260967,2.271424449057602
Germany,840,4,0.5,0.6,0.7861176147736031,0.6043240154112486,0.8943232536001603,2.284764883785012
Germany,840,4,0.5,0.8,0.76733632114325,0.6182055893081154,0.8901310855536476,2.275672996005013
Germany,840,4,0.8,0.4,0.7961571477693249,0.5777264357254894,0.8948651748091007,2.268748758303915
Germany,840,4,0.8,0.6,0.7938545690714102,0.60056563022644,0.889606475254126,2.284026674551976
Germany,840,4,0.8,0.8,0.782018656015254,0.6144942752904068,0.8830676217232422,2.279580553028903
Germany,840,8,0.2,0.4,0.8426518734972078,0.5907320569358934,0.9008574822751559,2.3342414127082574
Germany,840,8,0.2,0.6,0.8375625222755773,0.6095295710084515,0.8998656302468441,2.3469577235308727
Germany,840,8,0.2,0.8,0.7964025976842294,0.6045972130406844,0.8984530678327309,2.299452878557645
Germany,840,8,0.5,0.4,0.8415773645549449,0.5889728452187047,0.8990950752629788,2.3296452850366287
Germany,840,8,0.5,0.6,0.8426281133648018,0.6074527911452762,0.8965808718929463,2.346661776403024
Germany,840,8,0.5,0.8,0.8159381751260817,0.6058938055289115,0.8930009562126495,2.314832936867643
Germany,840,8,0.8,0.4,0.8402071316954253,0.5873232677227259,0.8973188384250819,2.324849237843233
Germany,840,8,0.8,0.6,0.8456627153194743,0.6053929535620332,0.8933098518455178,2.3443655207270253
Germany,840,8,0.8,0.8,0.8280760869809051,0.6059480192620272,0.8877272567997828,2.321751363042715
Spain,210,2,0.2,0.4,,,,
Spain,210,2,0.2,0.6,,,,
Spain,210,2,0.2,0.8,,,,
Spain,210,2,0.5,0.4,0.8858424205531158,0.5556131656552223,0.8352347254026856,2.276690311611024
Spain,210,2,0.5,0.6,,,,
Spain,210,2,0.5,0.8,,,,
Spain,210,2,0.8,0.4,0.9017394920090338,0.5717418645465444,0.8480447244268976,2.321526080982476
Spain,210,2,0.8,0.6,0.9142368691825765,0.5841700395701973,0.8526035887411664,2.3510104974939403
Spain,210,2,0.8,0.8,0.9209698712702634,0.596923809977125,0.8259103567308093,2.343804037978198
Spain,210,4,0.2,0.4,,,,
Spain,210,4,0.2,0.6,,,,
Spain,210,4,0.2,0.8,,,,
Spain,210,4,0.5,0.4,0.8820314474861382,0.5474857007065086,0.8254629357681577,2.2549800839608043
Spain,210,4,0.5,0.6,0.9029532842771258,0.5322272493603266,0.8427507528927602,2.2779312865302126
Spain,210,4,0.5,0.8,,,,
Spain,210,4,0.8,0.4,0.9039085939411848,0.5939263876573463,0.8421609012021789,2.33999588280071
Spain,210,4,0.8,0.6,0.9135501016872062,0.575073467208785,0.8539382517361955,2.342561820632187
Spain,210,4,0.8,0.8,0.9220690897039527,0.5690211752947447,0.8323066423510267,2.323396907349724
Spain,210,8,0.2,0.4,,,,
Spain,210,8,0.2,0.6,,,,
Spain,210,8,0.2,0.8,,,,
Spain,210,8,0.5,0.4,0.8690518185844369,0.5190804055030241,0.8174677823800814,2.2056000064675425
Spain,210,8,0.5,0.6,0.890606775757342,0.45904733833423766,0.8406103592523484,2.190264473343928
Spain,210,8,0.5,0.8,,,,
Spain,210,8,0.8,0.4,0.8930731917276794,0.6086892616274623,0.8369191673661607,2.338681620721302
Spain,210,8,0.8,0.6,0.9052601146064666,0.5308204323906685,0.8531664172975746,2.2892469642947098
Spain,210,8,0.8,0.8,0.9162502748172069,0.49972045334852916,0.8339281641098049,2.249898892275541
Spain,420,2,0.2,0.4,,,,
Spain,420,2,0.2,0.6,,,,
Spain,420,2,0.2,0.8,,,,
Spain,420,2,0.5,0.4,0.7472718494326978,0.4666456598502111,0.7781949483073838,1.9921124575902927
Spain,420,2,0.5,0.6,0.7549372107617885,0.42151425525727565,0.8191491117282051,1.9956005777472692
Spain,420,2,0.5,0.8,0.7795020668728067,0.4157301953615006,0.8349754990334564,2.0302077612677634
Spain,420,2,0.8,0.4,0.7786920429667803,0.4961533329664998,0.7995039105094813,2.0743492864427613
Spain,420,2,0.8,0.6,0.7845094088174179,0.4747608069213668,0.8319859082735166,2.0912561240123013
Spain,420,2,0.8,0.8,0.7962274786361694,0.4630513406999102,0.8449025388835276,2.1041813582196074
Spain,420,4,0.2,0.4,0.7104214117563403,0.35855054209162346,0.7298698885982242,1.798841842446188
Spain,420,4,0.2,0.6,,,,
Spain,420,4,0.2,0.8,,,,
Spain,420,4,0.5,0.4,0.7807805713477477,0.44356488161781776,0.7703085425564173,1.9946539955219829
Spain,420,4,0.5,0.6,0.7546640348268419,0.3505563551512553,0.8111257192392762,1.9163461092173735
Spain,420,4,0.5,0.8,0.7719582731643477,0.3221261280571393,0.8297464855247564,1.9238308867462433
Spain,420,4,0.8,0.4,0.8187467823004452,0.4914800598488546,0.7950837493140451,2.1053105914633448
Spain,420,4,0.8,0.6,0.8008043787881837,0.42598563455229244,0.8295185230268352,2.056308536367311
Spain,420,4,0.8,0.8,0.8022489858619307,0.3897155546394621,0.8439828963365166,2.035947436837909
